ISBN-13;Titre;Langue de l'ouvrage;Nom complet de(s)Auteur(s);Date de parution;Résumé;Genre littéraire
978-2-266-24962-5;Le Prisonnier du ciel;Français;Carlos Ruiz Zafón;2012-10-18;"Daniel Sempere est sur le point de percer le mystère de la mort de sa mère.
Un personnage inquiétant fait son apparition à la librairie, menaçant de révéler un terrible secret enfoui depuis l'époque de la guerre civile.
Troisième tome de la saga.";Thriller littéraire
978-2-226-44480-7;Une colonne de feu;Français;Ken Follett;2017-09-12;"Troisième volet de la saga de Kingsbridge.
Au XVIe siècle, l'Europe est déchirée par les guerres de religion.
Ned Willard, un jeune protestant, devient un espion au service de la reine Élisabeth Ière pour déjouer les complots qui menacent son trône.";Roman historique
978-2-7578-7094-4;La Promesse de l'aube;Français;Romain Gary;1960-04-30;"Récit autobiographique où Romain Gary raconte son enfance, son adolescence et ses exploits d'aviateur, le tout sous l'influence écrasante et l'amour inconditionnel de sa mère, Mina.";Récit autobiographique
978-2-266-27139-8;Dans les bois;Français;Harlan Coben;2007-10-03;"Vingt ans après la disparition de sa sœur et de ses amis dans un camp de vacances, un procureur, Paul Copeland, est confronté à une nouvelle affaire qui pourrait être liée à ce drame.
Il replonge dans son passé pour découvrir une vérité insoupçonnable.";Thriller
978-2-266-31127-8;Impact;Français;Olivier Norek;2020-05-28;"Virgil Solal, un ancien soldat, décide de s'attaquer aux plus grands pollueurs de la planète.
Sa croisade écologique le transforme en terroriste aux yeux du monde.
Un thriller qui pose la question de la légitimité de la violence face à l'urgence climatique.";Éco-thriller
978-2-266-29761-9;La Fille de Brooklyn;Français;Guillaume Musso;2016-03-24;"Raphaël, un écrivain, est sur le point d'épouser Anna.
Mais juste avant le mariage, elle lui avoue un terrible secret et disparaît.
Avec l'aide d'un ami policier, il se lance à sa recherche, découvrant que le passé d'Anna est bien plus sombre qu'il ne l'imaginait.";Thriller
978-2-266-28317-9;L'Instant présent;Français;Guillaume Musso;2015-05-07;"Lisa hérite d'un théâtre en ruine à Manhattan.
Elle y rencontre Arthur, un jeune médecin urgentiste.
Mais leur histoire d'amour est soumise à une étrange malédiction : Arthur ne peut vivre qu'un seul jour par an.";Roman fantastique
978-2-266-29111-2;7 ans après...;Français;Guillaume Musso;2012-03-01;"Un couple divorcé, Nikki et Sebastian, est forcé de faire équipe pour retrouver leur fils, disparu à New York.
Leur enquête les entraîne dans une course-poursuite à travers les États-Unis, réveillant leurs anciens sentiments et leurs vieilles rancœurs.";Thriller romantique
978-2-266-32113-0;La Dernière Nuit du Raïs;Français;Yasmina Khadra;2015-08-19;"Le roman imagine les dernières heures de Mouammar Kadhafi, terré dans un trou à Syrte, alors que les rebelles le traquent.
Un monologue fiévreux où le dictateur déchu se remémore sa vie, son pouvoir et sa chute.";Roman
978-2-7578-7519-2;Qu'Allah bénisse la France !;Français;Abd Al Malik;2004-10-01;"Récit autobiographique du rappeur et slameur Abd Al Malik.
Il raconte son parcours, de son enfance dans une cité de Strasbourg à sa conversion à l'islam soufi, en passant par la délinquance et le succès musical.
Un témoignage sur l'identité et la quête spirituelle.";Récit autobiographique
978-2-266-17389-0;L'Art du simple bonheur;Français;Le Dalaï-Lama;1999-04-13;"À travers des entretiens avec un psychiatre, le Dalaï-Lama partage sa vision du bonheur.
Il explique comment la compassion, l'altruisme et la discipline mentale peuvent nous aider à surmonter la souffrance et à trouver une paix intérieure durable.";Spiritualité
978-2-266-31128-5;Les gratitudes;Français;Delphine de Vigan;2019-03-06;"Michka, une vieille femme qui perd l'usage de la parole, est placée en EHPAD.
Marie, sa jeune voisine, et Jérôme, son orthophoniste, l'accompagnent dans cette dernière étape.
Un roman sur la vieillesse, la mémoire et l'importance de dire 'merci'.";Roman contemporain
978-2-266-28950-8;Le parfum du bonheur est plus fort sous la pluie;Français;Virginie Grimaldi;2017-05-03;"Quand son mari la quitte, Pauline s'effondre.
Pour le reconquérir, elle décide de lui écrire des lettres pour lui rappeler tous les bons moments passés ensemble.
Un roman sur la résilience, l'amour et l'espoir.";Feel-good
978-2-266-29762-6;À la lumière de nos jours;Français;Clarisse Sabard;2018-04-12;"Zélie, une jeune femme, hérite de la maison de sa grand-mère en Auvergne.
En triant ses affaires, elle découvre un secret de famille qui la pousse à enquêter sur le passé de ses aïeules pendant la Seconde Guerre mondiale.";Roman historique
978-2-7499-4082-3;Au-delà de cette limite votre ticket n'est plus valable;Français;Romain Gary;1975-01-01;"Jacques Rainier, un homme d'affaires vieillissant, est hanté par la peur de l'impuissance.
Il voit dans son déclin sexuel le symbole de la décadence du monde occidental.
Un roman sur l'angoisse de vieillir et la perte de virilité.";Roman
978-2-7578-1897-7;Gros-Câlin;Français;Romain Gary;1974-01-01;"M. Cousin, un statisticien solitaire, décide d'adopter un python pour combler sa solitude affective.
Il le nomme Gros-Câlin et le traite comme un membre de sa famille.
Une fable tendre et absurde sur la solitude et le besoin d'amour.";Roman
978-2-266-32112-3;Chien Blanc;Français;Romain Gary;1970-01-01;"Récit autobiographique où Romain Gary et sa femme, l'actrice Jean Seberg, recueillent un chien de police qui a été dressé pour attaquer les Noirs.
Ils tentent de le 'déconditionner'.
Une réflexion sur le racisme et la haine dans l'Amérique des années 60.";Récit
978-2-266-20075-6;Ravage;Français;René Barjavel;1943-01-01;"Dans un futur ultra-technologique, une panne d'électricité soudaine et mondiale plonge la civilisation dans le chaos.
Un groupe de survivants quitte Paris pour tenter de fonder une nouvelle société basée sur des valeurs agraires.
Un roman d'anticipation visionnaire.";Science-Fiction
978-2-266-17390-6;L'Enchanteur;Français;René Barjavel;1984-01-01;"Barjavel revisite la légende arthurienne en se concentrant sur la figure de Merlin l'Enchanteur.
Il raconte son amour pour Viviane, son rôle de conseiller auprès du roi Arthur et les intrigues de la cour de Camelot.
Un conte poétique et philosophique.";Fantasy
978-2-266-29112-9;La mort est mon métier;Français;Robert Merle;1952-01-01;"Le roman retrace la vie fictive de Rudolf Lang (inspiré de Rudolf Höss, le commandant d'Auschwitz).
On suit son parcours, de son enfance à son adhésion au parti nazi, jusqu'à ce qu'il devienne un organisateur zélé de l'extermination.
Une plongée glaçante dans la banalité du mal.";Roman historique
978-2-266-28108-3;Malevil;Français;Robert Merle;1972-01-01;"Suite à une explosion nucléaire, un groupe de survivants se réfugie dans un château médiéval, Malevil.
Ils doivent réapprendre à vivre et à s'organiser dans un monde revenu à l'âge de pierre, tout en se protégeant des autres survivants.";Science-Fiction
978-2-266-27714-7;Les Fourmis;Français;Bernard Werber;1991-03-23;"Un homme hérite d'un appartement et d'une cave mystérieuse.
Il y disparaît.
Sa famille découvre qu'il communiquait avec une civilisation de fourmis intelligentes.
Le roman alterne entre le monde des humains et la vie de la colonie de fourmis.";Science-Fiction
978-2-266-28316-2;Le jour des fourmis;Français;Bernard Werber;1992-09-29;"Suite des 'Fourmis'.
La communication entre les humains et la cité-fourmi de Bel-o-kan est établie.
Mais les deux civilisations, si différentes, peuvent-elles coexister pacifiquement ? La peur et l'incompréhension menacent de déclencher une guerre totale.";Science-Fiction
978-2-266-29113-6;La Révolution des fourmis;Français;Bernard Werber;1995-10-04;"Troisième volet de la trilogie.
Une jeune fourmi, 103 683e, prône la non-violence et la coopération avec les 'doigts' (les humains).
Pendant ce temps, chez les humains, une adolescente tente de convaincre le monde de l'intelligence des fourmis.";Science-Fiction
978-2-266-29763-3;L'Empire des anges;Français;Bernard Werber;2000-10-04;"Michael Pinson, décédé, devient un ange gardien.
Il est chargé de veiller sur trois âmes humaines : un écrivain, une mannequin et un médecin.
Il doit les guider dans leur vie terrestre, tout en explorant le monde des anges et ses mystères.";Roman fantastique
978-2-266-31129-2;Les Thanatonautes;Français;Bernard Werber;1994-04-12;"Deux chercheurs, Michael Pinson et Raoul Razorbak, décident d'explorer scientifiquement l'au-delà en provoquant des comas artificiels.
Ils deviennent des 'thanatonautes', des navigateurs de la mort, et cartographient le continent des morts.";Roman fantastique
978-2-266-31843-7;La Boîte de Pandore;Français;Bernard Werber;2018-09-26;"René, un professeur d'histoire, découvre qu'il peut revivre ses vies antérieures grâce à l'hypnose.
Il explore le passé de l'humanité à travers ses différentes incarnations, de l'Atlantide à l'Égypte ancienne, pour comprendre le présent.";Roman fantastique
978-2-266-32111-6;La Planète des singes;Français;Pierre Boulle;1963-01-01;"Trois astronautes atterrissent sur une planète où les singes sont l'espèce dominante et intelligente, tandis que les humains sont des animaux sauvages.
Un roman d'aventure qui est aussi une satire sociale et une réflexion sur la nature de l'intelligence.";Science-Fiction
978-2-266-28109-0;L'Assassin royal, Tome 1 : L'Apprenti assassin;Français;Robin Hobb;1998-11-12;"Fitz, le bâtard du prince, est élevé au château de Castelcerf.
Il est formé pour devenir l'assassin personnel du roi.
Il doit apprendre à maîtriser ses deux magies, l'Art et le Vif, tout en naviguant dans les intrigues de la cour.";Fantasy
978-2-266-28841-9;Le Cycle de Fondation, Tome 1 : Fondation;Français;Isaac Asimov;1951-01-01;"Hari Seldon, un mathématicien, a développé la 'psychohistoire', une science qui permet de prédire l'avenir.
Il prévoit la chute de l'Empire Galactique et crée la Fondation, une colonie de savants chargée de préserver le savoir humain pour reconstruire la civilisation.";Science-Fiction
978-2-266-29764-0;Les Robots, Tome 1 : Les Cavernes d'acier;Français;Isaac Asimov;1954-01-01;"Dans un futur où les humains vivent dans des cités souterraines, l'inspecteur de police Elijah Baley doit faire équipe avec un robot humanoïde, R. Daneel Olivaw, pour enquêter sur le meurtre d'un Spacien.
Un polar de science-fiction qui explore les tensions entre humains et robots.";Science-Fiction
978-2-266-31130-8;Le Guide du voyageur galactique;Français;Douglas Adams;1982-03-29;"Arthur Dent, un Anglais moyen, est sauvé de la destruction de la Terre par son ami Ford Prefect, un extraterrestre.
Commence alors un voyage absurde et hilarant à travers la galaxie, à la recherche de la Grande Question sur la Vie, l'Univers et le Reste.";Science-Fiction humoristique
978-2-266-28315-5;Ubik;Français;Philip K. Dick;1969-01-01;"Joe Chip, un technicien, se retrouve avec son équipe dans une réalité qui se dégrade et régresse dans le temps, après une mission qui a mal tourné.
Leur seul espoir est un produit mystérieux, Ubik, qui semble stabiliser la réalité.
Un roman sur la perception et la nature de la réalité.";Science-Fiction
978-2-266-28840-2;Blade Runner (Les androïdes rêvent-ils de moutons électriques ?);Français;Philip K. Dick;1968-01-01;"Dans un San Francisco post-apocalyptique, Rick Deckard est un chasseur de primes chargé de 'retirer' des androïdes rebelles, presque indiscernables des humains.
Sa mission le pousse à s'interroger sur la nature de l'empathie et ce qui définit l'humanité.";Science-Fiction
978-2-266-29114-3;Des milliards de tapis de cheveux;Français;Andreas Eschbach;1999-09-02;"Dans un empire galactique, depuis des millénaires, des hommes consacrent leur vie à tisser des tapis faits avec les cheveux de leurs femmes, pour l'Empereur qu'ils n'ont jamais vu.
Un jour, un rebelle vient annoncer que l'Empereur est mort depuis longtemps.";Science-Fiction
978-2-266-29765-7;L'homme-dé;Français;Luke Rhinehart;1973-01-01;"Un psychiatre décide de confier toutes ses décisions à un dé.
Cette abdication de sa volonté le mène à des expériences de plus en plus extrêmes et dangereuses.
Un roman culte sur le hasard, la liberté et la folie.";Roman
978-2-266-31131-5;American psycho;Français;Bret Easton Ellis;1992-04-01;"Patrick Bateman, un golden boy de Wall Street dans les années 80, est un psychopathe qui assassine, torture et viole pour tromper son ennui.
Une satire ultra-violente et glaçante de la société de consommation et du vide existentiel.";Satire sociale
978-2-266-17391-3;Trainspotting;Français;Irvine Welsh;1996-02-01;"La vie d'un groupe de jeunes toxicomanes à Édimbourg, dans les années 80.
Le roman dépeint avec un humour noir et une langue crue leur quotidien fait de débrouille, de shoots d'héroïne, de violence et d'amitié.
Un portrait brutal d'une génération perdue.";Roman
978-2-266-28314-8;Fight Club;Français;Chuck Palahniuk;1999-08-25;"Le narrateur, un employé de bureau insomniaque et blasé, rencontre Tyler Durden, un personnage charismatique et anarchiste.
Ensemble, ils créent le 'Fight Club', un exutoire violent pour les hommes frustrés par la société de consommation, qui se transforme en un mouvement terroriste.";Roman
978-2-266-28839-6;Le Bûcher des vanités;Français;Tom Wolfe;1988-09-14;"Sherman McCoy, un trader de Wall Street, voit sa vie basculer après un accident de voiture dans le Bronx.
L'affaire est exploitée par les politiciens, les médias et les leaders communautaires.
Une satire féroce de la société new-yorkaise des années 80, de ses excès et de ses tensions raciales.";Satire sociale
978-2-266-29115-0;Moins que zéro;Français;Bret Easton Ellis;1986-04-02;"Clay, un jeune étudiant, revient à Los Angeles pour les vacances de Noël.
Il retrouve ses amis, de jeunes riches désœuvrés, et plonge dans un monde de fêtes, de drogues et de sexe, marqué par un nihilisme et un vide émotionnel profonds.";Roman
978-2-266-29766-4;Las Vegas parano;Français;Hunter S. Thompson;1973-01-01;"Le journaliste Raoul Duke et son avocat, le Dr Gonzo, se rendent à Las Vegas pour couvrir une course de moto, avec une valise pleine de drogues.
Leur voyage se transforme en une quête hallucinatoire et déjantée du Rêve Américain.
Un classique du journalisme gonzo.";Roman
978-2-266-31132-2;Chroniques de San Francisco, Tome 1;Français;Armistead Maupin;1994-04-06;"Mary Ann Singleton, une jeune femme fraîchement débarquée de sa province, s'installe au 28 Barbary Lane, une pension de famille tenue par l'excentrique Anna Madrigal.
Elle y découvre la vie libre et bohème de San Francisco dans les années 70.";Roman social
978-2-266-17392-0;Le Monde selon Garp;Français;John Irving;1980-03-01;"La vie de T.S. Garp, le fils d'une infirmière féministe devenue une icône.
Le roman suit ses péripéties en tant qu'écrivain, mari et père, dans un monde plein de personnages excentriques et d'événements tragiques et comiques.";Roman
978-2-266-28313-1;La Couleur pourpre;Français;Alice Walker;1984-03-01;"Dans le Sud ségrégationniste du début du XXe siècle, Celie, une jeune femme noire, subit l'inceste et la violence de son mari.
À travers des lettres, elle raconte son long chemin vers l'émancipation, aidée par la sororité et l'amour d'autres femmes.";Roman épistolaire
978-2-266-28838-9;Gatsby le Magnifique;Français;F. Scott Fitzgerald;1926-01-01;"Dans les années 20, le jeune Nick Carraway s'installe près de la somptueuse demeure de Jay Gatsby, un millionnaire mystérieux qui organise des fêtes extravagantes.
Il découvre que la richesse de Gatsby n'a qu'un but : reconquérir Daisy, son amour de jeunesse.";Roman
978-2-266-29116-7;Les Raisins de la colère;Français;John Steinbeck;1947-01-01;"Pendant la Grande Dépression, la famille Joad est chassée de sa ferme en Oklahoma.
Comme des milliers d'autres, ils prennent la route vers la Californie, la terre promise.
Un roman social puissant sur la misère, l'injustice et la dignité humaine.";Roman social
978-2-266-29767-1;Ne tirez pas sur l'oiseau moqueur;Français;Harper Lee;1961-01-01;"Dans une petite ville d'Alabama dans les années 30, Atticus Finch, un avocat, défend un homme noir accusé à tort d'avoir violé une femme blanche.
L'histoire est racontée à travers les yeux de sa fille, Scout, qui découvre le racisme et l'injustice de la société adulte.";Roman d'apprentissage
978-2-266-31133-9;Sur la route de Madison;Français;Robert James Waller;1992-10-01;"Francesca Johnson, une femme au foyer, vit une liaison passionnée de quatre jours avec Robert Kincaid, un photographe de passage.
Un amour bref mais absolu qui marquera leur vie à jamais.";Roman d'amour
978-2-266-17393-7;Le Patient anglais;Français;Michael Ondaatje;1993-08-25;"À la fin de la Seconde Guerre mondiale, dans une villa italienne, une jeune infirmière veille sur un grand brûlé amnésique, le 'patient anglais'.
À travers ses souvenirs fragmentés, l'histoire de son amour tragique dans le désert avant la guerre se dévoile.";Roman
978-2-266-28312-4;Le vieil homme et la mer;Français;Ernest Hemingway;1952-11-01;"Santiago, un vieux pêcheur cubain, part seul en mer et ferre un espadon gigantesque.
S'ensuit une lutte épique de trois jours entre l'homme et le poisson, un combat pour la survie et la dignité.";Nouvelle
978-2-266-28837-2;L'Alchimiste;Français;Paulo Coelho;1994-10-05;"Santiago, un jeune berger anadalou, part à la recherche d'un trésor en Égypte.
Son voyage se transforme en une quête initiatique pour accomplir sa 'Légende Personnelle' et découvrir les secrets de l'univers.";Conte philosophique
978-2-266-29117-4;Jonathan Livingston le goéland;Français;Richard Bach;1973-01-01;"Jonathan est un goéland qui ne se contente pas de voler pour se nourrir.
Il veut apprendre à voler pour la beauté du vol, pour atteindre la perfection.
Rejeté par son clan, il poursuit sa quête spirituelle.";Conte philosophique
978-2-266-29768-8;Le Moine qui vendit sa Ferrari;Français;Robin S. Sharma;1999-04-14;"Julian Mantle, un avocat riche et célèbre, décide de tout plaquer après une crise cardiaque.
Il part dans l'Himalaya et apprend auprès de moines les secrets d'une vie plus heureuse, plus saine et plus épanouie.
Un guide de développement personnel sous forme de fable.";Développement personnel
978-2-266-31134-6;Les quatre accords toltèques;Français;Miguel Ruiz;1999-10-27;"Un guide spirituel basé sur la sagesse des anciens Toltèques.
Il propose quatre 'accords' à passer avec soi-même pour se libérer des croyances limitantes et atteindre la liberté personnelle : que votre parole soit impeccable, n'en faites pas une affaire personnelle, ne faites pas de suppositions, faites toujours de votre mieux.";Développement personnel
978-2-266-17394-4;Le Pouvoir du moment présent;Français;Eckhart Tolle;2000-09-13;"Un guide spirituel pour apprendre à vivre pleinement dans le présent.
L'auteur explique comment notre mental et notre ego nous emprisonnent dans le passé et l'avenir, et propose des techniques pour se reconnecter à l'instant présent et trouver la paix intérieure.";Spiritualité
978-2-266-28311-7;Le Secret;Français;Rhonda Byrne;2007-09-20;"Ce livre expose la 'loi de l'attraction', un principe selon lequel nos pensées créent notre réalité.
En se concentrant sur ce que l'on désire, on peut attirer à soi la richesse, la santé et le bonheur.
Un best-seller du mouvement de la 'pensée positive'.";Développement personnel
978-2-266-28836-5;Mange, prie, aime;Français;Elizabeth Gilbert;2008-01-09;"Récit autobiographique d'une femme qui, après un divorce difficile, décide de tout quitter pour un voyage d'un an.
Elle part en Italie pour redécouvrir le plaisir de manger ('Mange'), en Inde pour trouver la spiritualité ('Prie'), et en Indonésie pour trouver l'amour ('Aime').";Récit de voyage
978-2-266-29118-1;Wild;Français;Cheryl Strayed;2013-03-06;"Après la mort de sa mère et l'échec de son mariage, Cheryl Strayed décide de parcourir seule plus de 1700 km sur le Pacific Crest Trail, un sentier de grande randonnée.
Un voyage initiatique de reconstruction physique et émotionnelle.";Récit autobiographique
978-2-266-29769-5;Into the Wild;Français;Jon Krakauer;1997-03-01;"L'enquête du journaliste Jon Krakauer sur l'histoire vraie de Christopher McCandless, un jeune homme qui, en 1992, a tout abandonné pour vivre en pleine nature en Alaska.
Un récit sur la quête d'absolu, la nature sauvage et la société de consommation.";Journalisme narratif
978-2-266-31135-3;Sapiens : Une brève histoire de l'humanité;Français;Yuval Noah Harari;2015-09-02;"Un essai qui retrace l'histoire de l'Homo sapiens, de son apparition à nos jours.
L'auteur analyse les grandes révolutions (cognitive, agricole, scientifique) qui ont façonné notre espèce et s'interroge sur notre avenir.";Essai
978-2-266-17395-1;L'Art subtil de s'en foutre;Français;Mark Manson;2017-06-07;"Un guide de développement personnel à contre-courant qui affirme que la clé du bonheur n'est pas de chercher à être toujours positif, mais d'apprendre à mieux choisir ses 'batailles' et à accepter les aspects négatifs de la vie.
Une approche plus réaliste et honnête.";Développement personnel
978-2-266-28310-0;La Magie du rangement;Français;Marie Kondō;2015-05-20;"La méthode 'KonMari' pour désencombrer et organiser sa maison.
Le principe : ne garder que les objets qui nous procurent de la joie.
Un guide pratique pour transformer son intérieur et, par extension, sa vie.";Développement personnel
978-2-266-28835-8;Miracle Morning;Français;Hal Elrod;2016-01-20;"L'auteur propose une routine matinale basée sur six pratiques (silence, affirmations, visualisation, exercice, lecture, écriture) pour améliorer sa productivité, son bien-être et atteindre ses objectifs.
Un guide pour transformer sa vie avant 8 heures du matin.";Développement personnel
978-2-266-29119-8;Comment se faire des amis;Français;Dale Carnegie;1936-01-01;"Un classique du développement personnel qui donne des conseils pratiques pour améliorer ses relations humaines, que ce soit dans la vie professionnelle ou personnelle.
Des principes pour mieux communiquer, influencer et être apprécié des autres.";Développement personnel
978-2-266-29770-1;Père riche, père pauvre;Français;Robert T. Kiyosaki;2001-04-24;"L'auteur compare l'éducation financière qu'il a reçue de son père biologique ('père pauvre') et du père de son meilleur ami ('père riche').
Un livre sur l'intelligence financière, l'investissement et la manière de faire travailler l'argent pour soi.";Éducation financière
978-2-266-31136-0;La Semaine de 4 heures;Français;Timothy Ferriss;2008-04-10;"Un guide pour échapper à la routine 'métro-boulot-dodo'.
L'auteur propose des techniques pour automatiser ses revenus, travailler moins et profiter davantage de la vie.
Un manifeste pour les 'nouveaux bienheureux'.";Développement personnel
978-2-266-17396-8;Cessez d'être gentil, soyez vrai !;Français;Thomas d'Ansembourg;2001-09-01;"Basé sur la Communication Non Violente, ce livre nous invite à arrêter d'être 'gentils' par peur du conflit ou du rejet, et à apprendre à exprimer nos besoins et nos sentiments de manière authentique et respectueuse.";Psychologie
978-2-266-28309-4;Les hommes viennent de Mars, les femmes viennent de Vénus;Français;John Gray;1992-05-01;"Un guide sur les différences psychologiques entre les hommes et les femmes pour améliorer la communication dans le couple.
L'auteur utilise la métaphore de planètes différentes pour expliquer les malentendus et proposer des solutions.";Psychologie
978-2-266-28834-1;L'homme qui voulait être heureux;Français;Laurent Gounelle;2008-10-01;"En vacances à Bali, un homme consulte un vieux guérisseur.
Le diagnostic : il n'est pas heureux.
Le sage lui donne une série de tâches à accomplir pour se libérer de ses croyances limitantes.
Un roman initiatique sur le bonheur.";Développement personnel
978-2-266-29120-4;Le jour où j'ai arrêté de me trouver grosse;Français;Anthony Robbins;2017-01-18;"Un guide pour reprogrammer son cerveau et son corps afin d'atteindre ses objectifs de santé et de bien-être.
L'auteur propose des stratégies pour maîtriser ses émotions, changer ses habitudes et libérer son potentiel.";Développement personnel
978-2-266-29771-8;L'Effet cumulé;Français;Darren Hardy;2012-10-10;"L'auteur explique que le succès ne vient pas de grands bouleversements, mais de petites décisions quotidiennes, répétées sur le long terme.
C'est l''effet cumulé' de ces petites actions qui mène à des résultats extraordinaires.";Développement personnel
978-2-266-31137-7;Avalez le crapaud !;Français;Brian Tracy;2002-09-01;"Un guide sur la gestion du temps et la procrastination.
Le 'crapaud' est la tâche la plus importante et la plus difficile de la journée.
En la réalisant en premier, on gagne en efficacité et en satisfaction.
21 conseils pour être plus productif.";Développement personnel
978-2-266-17397-5;Pouvoir illimité;Français;Anthony Robbins;1987-01-01;"Un des premiers livres de Tony Robbins, qui présente les bases de la Programmation Neuro-Linguistique (PNL).
Des techniques pour modéliser le succès, changer ses croyances et prendre le contrôle de sa vie mentale et émotionnelle.";Développement personnel
978-2-266-28308-7;Réfléchissez et devenez riche;Français;Napoleon Hill;1937-01-01;"Après avoir étudié la vie de centaines de millionnaires, Napoleon Hill a défini 13 principes pour atteindre la richesse et le succès.
Un classique de la littérature sur la réussite, basé sur la puissance de la pensée et la définition d'objectifs.";Développement personnel
978-2-266-28833-4;La Vache pourpre;Français;Seth Godin;2004-03-01;"Pour se démarquer dans un marché saturé, un produit doit être 'remarquable', comme une vache pourpre dans un champ de vaches normales.
Un livre sur l'importance de l'innovation et de l'audace en marketing.";Marketing
